record_id,family,task,carrier_proxy,intent,outcome,claim_text
ExtAA103__appagent__20260513_051330,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAA106__appagent__20260517_131403,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAA106__mav3__20260514_154846,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAA114__appagent__20260513_152219,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW002__mav3__20260513_054956,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW004__appagent__20260517_132118,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW005__mav3__20260511_203815,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW006__mav3__20260514_212008,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW009__appagent__20260517_132428,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW013__mav3__20260514_213039,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW014__appagent__20260517_132609,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW015__mav3__20260514_213045,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW016__appagent__20260512_094541,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW018__appagent__20260517_105559,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW022__appagent__20260517_133905,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW022__mav3__20260514_213600,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW023__appagent__20260517_110300,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW023__mav3__20260514_213646,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW025__appagent__20260517_134117,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW026__appagent__20260517_110442,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW026__mav3__20260515_095318,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW034__mav3__20260513_065606,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW037__mav3__20260514_221317,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW042__appagent__20260512_103113,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW042__mav3__20260513_212228,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW046__appagent__20260512_103515,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW046__mav3__20260513_073111,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW048__appagent__20260512_104245,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW049__mav3__20260513_074007,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW052__appagent__20260512_105232,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW055__mav3__20260513_215244,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW059__mav3__20260514_223803,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW067__appagent__20260512_115228,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW074__appagent__20260512_123258,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW074__mav3__20260513_220044,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW078__appagent__20260512_124632,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW080__mav3__20260513_180751,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW087__mav3__20260513_223319,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW090__appagent__20260512_135329,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW135__appagent__20260512_163851,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW146__appagent__20260512_172207,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW151__mav3__20260514_002847,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW154__appagent__20260512_180435,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW161__mav3__20260514_005847,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW164__appagent__20260516_195704,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW167__mav3__20260511_214225,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW173__mav3__20260514_011747,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW176__appagent__20260512_184349,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW179__appagent__20260512_185227,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW179__mav3__20260514_013138,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW180__appagent__20260512_185325,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW180__mav3__20260514_013723,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW182__appagent__20260516_200947,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW182__mav3__20260514_014100,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW183__appagent__20260517_135010,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW185__appagent__20260517_115159,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW185__mav3__20260514_083939,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW186__mav3__20260514_014923,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW187__appagent__20260517_135351,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW188__mav3__20260514_015356,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW191__mav3__20260514_015722,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW192__appagent__20260517_120019,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW194__appagent__20260512_193731,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW198__mav3__20260514_020952,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtAW200__appagent__20260512_195814,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtTH020__appagent__20260512_214453,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtTH020__mav3__20260514_030123,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtTH056__mav3__20260514_101718,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtTH068__appagent__20260513_083736,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtTH098__appagent__20260513_015857,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
ExtTH110__appagent__20260513_101949,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
FilesDeleteFile__appagent__20260508_233154,appagent,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW010__mav3__20260515_003414,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW011__mav3__20260514_171103,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW012__mav3__20260514_171156,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW014__appagent__20260517_141439,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW015__appagent__20260517_141613,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW016__mav3__20260514_172042,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW019__mav3__20260514_172903,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW021__appagent__20260517_141933,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW022__appagent__20260517_141938,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW022__mav3__20260515_010536,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW025__mav3__20260514_180458,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW026__appagent__20260516_205151,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW026__mav3__20260514_181039,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW027__appagent__20260517_142334,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW027__mav3__20260515_121957,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW028__appagent__20260516_010423,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW028__mav3__20260514_181432,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW029__mav3__20260514_181618,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW053__mav3__20260515_142252,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW054__mav3__20260515_031547,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW055__mav3__20260515_031535,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW056__appagent__20260517_143940,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW057__mav3__20260515_142328,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW058__appagent__20260517_144116,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW064__mav3__20260515_145242,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW068__appagent__20260516_205538,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW068__mav3__20260515_151807,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW071__mav3__20260515_041852,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW074__mav3__20260515_042127,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW075__mav3__20260515_153641,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW082__mav3__20260515_153852,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW083__appagent__20260516_031430,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW083__mav3__20260515_153935,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW085__appagent__20260517_153431,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
OrigAW089__appagent__20260517_151831,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeAddMultipleRecipes__appagent__20260509_003418,appagent,,render/list,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeAddSingleRecipe__appagent__20260509_004208,appagent,,render/list,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteDuplicateRecipes2__appagent__20260509_004849,appagent,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteDuplicateRecipes2__mav3__20260509_195953,mav3,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteDuplicateRecipes3__appagent__20260509_005012,appagent,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteDuplicateRecipes3__mav3__20260509_200512,mav3,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteDuplicateRecipes__appagent__20260509_004603,appagent,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteDuplicateRecipes__mav3__20260509_195712,mav3,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteMultipleRecipesWithConstraint__appagent__20260509_005105,appagent,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteMultipleRecipesWithConstraint__mav3__20260509_200837,mav3,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteMultipleRecipesWithNoise__appagent__20260509_005207,appagent,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteMultipleRecipesWithNoise__mav3__20260509_200847,mav3,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
RecipeDeleteSingleWithRecipeWithNoise__appagent__20260509_005408,appagent,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
SimpleCalendarAddOneEventInTwoWeeks__appagent__20260510_034359,appagent,,render/list,UNHEDGED_SUCCESS,NOT_COMPLETED,
SimpleCalendarAddRepeatingEvent__mav3__20260510_103200,mav3,,render/list,UNHEDGED_SUCCESS,NOT_COMPLETED,
SimpleCalendarDeleteEvents__mav3__20260510_103304,mav3,,delete-vacuous,UNHEDGED_SUCCESS,NOT_COMPLETED,
SimpleSmsReplyMostRecent__appagent__20260509_014114,appagent,,external/comms,UNHEDGED_SUCCESS,NOT_COMPLETED,
SimpleSmsReplyMostRecent__mav3__20260509_205900,mav3,,external/comms,UNHEDGED_SUCCESS,NOT_COMPLETED,
SimpleSmsReply__mav3__20260510_104256,mav3,,external/comms,UNHEDGED_SUCCESS,NOT_COMPLETED,
SystemBluetoothTurnOffVerify__mav3__20260509_211156,mav3,,value/toggle,UNHEDGED_SUCCESS,NOT_COMPLETED,
SystemBluetoothTurnOn__mav3__20260510_105712,mav3,,value/toggle,UNHEDGED_SUCCESS,NOT_COMPLETED,
SystemBrightnessMax__appagent__20260509_015831,appagent,,value/toggle,UNHEDGED_SUCCESS,NOT_COMPLETED,
SystemWifiTurnOn__mav3__20260509_212941,mav3,,value/toggle,UNHEDGED_SUCCESS,NOT_COMPLETED,
aw_SimpleSmsSendAfterCall__appagent__20260509_021902,appagent,,external/comms,UNHEDGED_SUCCESS,NOT_COMPLETED,
themis_T02_omninotes_745__appagent__20260509_022954,appagent,,render/list,UNHEDGED_SUCCESS,NOT_COMPLETED,
themis_T04_activitydiary_285__appagent__20260509_022954,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
themis_T08_sunflower_239__appagent__20260509_024527,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
themis_T09_markor_264__appagent__20260509_024850,appagent,,render/list,UNHEDGED_SUCCESS,NOT_COMPLETED,
themis_T10_markor_1329__appagent__20260509_032137,appagent,,render/list,UNHEDGED_SUCCESS,NOT_COMPLETED,
themis_T11_markor_1698__appagent__20260509_025633,appagent,,render/list,UNHEDGED_SUCCESS,NOT_COMPLETED,
themis_T17_amaze_3207__appagent__20260509_035237,appagent,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
themis_T31_ankidroid_5756__mav3__20260509_234005,mav3,,other,UNHEDGED_SUCCESS,NOT_COMPLETED,
